Producteurs;Superficie  (m2);Rendement T/ha;Production / T;Vente direct poste ecolte (FCA);Perte concervation (T);Production poste concervation (T);Vente poste concervation (T);Vente poste concervation/Vente poste recolte;Gain;Pourcentage de perte
P1;5000;12.32;9.74;24000;0.6;11.1;38000;1.58;6365.50308;6.160164271
P2;10000;12.12;12.12;22000;1;2.16;47000;2.13;5693.069307;8.250825083
P3;20000;9.32;18.64;19500;1.64;3.06;62000;3.18;4372.317597;8.798283262
P4;35000;13.42;47;23250;1.88;7.72;38000;1.63;1303.191489;4
P5;2500;22.12;5.53;14000;0.52;2.24;9000;0.64;4159.132007;9.403254973
P6;17500;12.81;22.42;17600;0.36;3.04;47000;2.67;2881.355932;1.605709188
P7;90000;15.77;142;12500;5.1;51.7;50000;4;440.1408451;3.591549296
P8;14300;8.56;12.25;28300;0.27;7.6;27950;0.98;4591.836735;2.204081633
P9;5000;24.28;12.14;12000;1.94;5.7;25000;2.27;3047.775947;15.98023064
P10;58300;30;175;25000;2;18;42500;4.7;385.7142857;1.142857143
P11;6750;18.57;12.54;17500;0.34;14.33;22500;1.28;3189.792663;2.711323764
P12;7500;8.1;6.08;35000;0.02;0.98;60000;1.71;15625;0.328947368
P13;190000;11.84;225;40500;0.22;60.77;66000;1.62;473.3333333;0.097777778
P14;5400;10.55;5.7;15400;0.6;2.1;35000;2.27;8842.105263;10.52631579
P15;34500;19.44;67.08;34500;0.91;50.39;51750;1.5;1285.778175;1.356589147
